variable;variable_old;item;text;info
Status;Status;NA;Antworttyp;"{""ImportId"":""status""}"
Progress;Progress;NA;Aktueller Stand;"{""ImportId"":""progress""}"
Duration (in seconds);Duration (in seconds);NA;Dauer (in Sekunden);"{""ImportId"":""duration""}"
Finished;Finished;NA;Beendet;"{""ImportId"":""finished""}"
ResponseId;ResponseId;NA;Antwort-ID;"{""ImportId"":""_recordId""}"
Gender;gender;NA;Mit welchem Geschlecht identifizieren Sie sich?;"{""ImportId"":""QID3""}"
Age;age;NA;Bitte geben Sie Ihr Alter in Jahren an:;"{""ImportId"":""QID2_TEXT""}"
Bildungsabschluss;Bildungsabschluss;NA;Was ist Ihr höchster Bildungsabschluss?;"{""ImportId"":""QID5""}"
Wohnort;Wohnort;NA;Was beschreibt Ihren aktuellen Wohnort am ehesten?;"{""ImportId"":""QID6""}"
big5_1;Big5_1;Ich habe eine aktive Vorstellungskraft, bin fantasievoll.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Persönlichkeit zu? - Ich habe eine aktive Vorstellungskraft, bin fantasievoll.;"{""ImportId"":""QID8_8""}"
big5_2n;Big5_2;Ich habe wenig künstlerisches Interesse.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Persönlichkeit zu? - Ich habe wenig künstlerisches Interesse.;"{""ImportId"":""QID8_10""}"
ati_1;ATI_1;Ich beschäftige mich gern genauer mit technischen Systemen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich beschäftige mich gern genauer mit technischen Systemen.;"{""ImportId"":""QID9_1""}"
ati_2;ATI_2;Ich probiere gern die Funktionen neuer technischer Systeme aus.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich probiere gern die Funktionen neuer technischer Systeme aus.;"{""ImportId"":""QID9_2""}"
ati_3n;ATI_3;In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - In erster Linie beschäftige ich mich mit technischen Systemen, weil ich muss.;"{""ImportId"":""QID9_3""}"
ati_4;ATI_4;Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Wenn ich ein neues technisches System vor mir habe, probiere ich es intensiv aus.;"{""ImportId"":""QID9_4""}"
ati_5;ATI_5;Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich verbringe sehr gern Zeit mit dem Kennenlernen eines neuen technischen Systems.;"{""ImportId"":""QID9_5""}"
ati_6n;ATI_6;Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, dass ein technisches System funktioniert, mir ist es egal, wie oder warum.;"{""ImportId"":""QID9_6""}"
ati_7;ATI_7;Ich versuche zu verstehen, wie ein technisches System genau funktioniert.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich versuche zu verstehen, wie ein technisches System genau funktioniert.;"{""ImportId"":""QID9_7""}"
ati_8n;ATI_8;Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Es genügt mir, die Grundfunktionen eines technischen Systems zu kennen.;"{""ImportId"":""QID9_8""}"
ati_9;ATI_9;Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.;Inwiefern stimmen Sie diesen Aussagen zu Ihrer Technikaffinität zu? - Ich versuche, die Möglichkeiten eines technischen Systems vollständig auszunutzen.;"{""ImportId"":""QID9_9""}"
behoerden_1;EZKV_1;Behörden bearbeiten Anliegen ohne Verzögerung.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden bearbeiten Anliegen ohne Verzögerung.;"{""ImportId"":""QID16_1""}"
behoerden_2;EZKV_2;Behörden handeln transparent und ehrlich.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden handeln transparent und ehrlich.;"{""ImportId"":""QID16_2""}"
behoerden_3;EZKV_3;Die Anträge in Behörden sind klar und verständlich.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Die Anträge in Behörden sind klar und verständlich.;"{""ImportId"":""QID16_3""}"
behoerden_4;EZKV_4;Behörden erledigen ihre Aufgaben sehr gut.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden erledigen ihre Aufgaben sehr gut.;"{""ImportId"":""QID16_4""}"
behoerden_5;EZKV_5;Behörden verarbeiten meine Daten sicher und ausschließlich zweckmäßig.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Behörden verarbeiten meine Daten sicher und ausschließlich zweckmäßig.;"{""ImportId"":""QID16_5""}"
behoerden_6n;EZKV_6;Die Interaktion mit Behörden ist frustrierend.;Inwiefern stimmen Sie diesen Aussagen zu Behörden zu? - Die Interaktion mit Behörden ist frustrierend.;"{""ImportId"":""QID16_6""}"
Kontrolle;EGN_3;"Dies ist ein Aufmerksamkeitstest. Bitte klicken Sie ""Stimme nicht zu"" an";"Wie ist Ihre Einstellung zum Thema Nachhaltigkeit? - Dies ist ein Aufmerksamkeitstest. Bitte klicken Sie ""Stimme nicht zu"" an";"{""ImportId"":""QID18_5""}"
sz_B_1;BIATT_B_1;Ich beabsichtige, die beschriebene KI zu nutzen.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Ich beabsichtige, die beschriebene KI zu nutzen.;"{""ImportId"":""QID34_1""}"
sz_B_2;BIATT_B_2;Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Ich kann mir gut vorstellen, das beschriebene KI-System einzusetzen.;"{""ImportId"":""QID34_2""}"
sz_B_3;BIATT_B_3;Ich würde das System in Zukunft gern nutzen.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Ich würde das System in Zukunft gern nutzen.;"{""ImportId"":""QID34_3""}"
sz_B_4;BIATT_B_4;Die Nutzung des Systems ist eine gute Idee.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Die Nutzung des Systems ist eine gute Idee.;"{""ImportId"":""QID34_4""}"
sz_B_5;BIATT_B_5;Meine Einstellung gegenüber dem System ist positiv.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Meine Einstellung gegenüber dem System ist positiv.;"{""ImportId"":""QID34_5""}"
sz_B_6;BIATT_B_6;Ich mag die Idee, dass ein solches System eingesetzt wird.;Bitte beantworten Sie die folgenden Fragen in Bezug auf das KI-System, welches Ihnen die Informationssuche erleichtert: - Ich mag die Idee, dass ein solches System eingesetzt wird.;"{""ImportId"":""QID34_6""}"
privat_B_1n;PW_B_1;Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphäre-Bedenken im Hinblick auf das KI-System zutreffen: - Ich glaube, dass durch die Nutzung des Chatbots Informationen über mich, die ich als privat betrachte, nun leichter für andere zugänglich sind, als ich es mir wünschen würde.;"{""ImportId"":""QID35_1""}"
privat_B_2n;PW_B_2;Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphäre-Bedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot zu viele Informationen über mich sammelt.;"{""ImportId"":""QID35_2""}"
privat_B_3n;PW_B_3;Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem digitalen Endgerät überwachen könnte.;Bitte wählen Sie aus, inwiefern die folgenden Privatsphäre-Bedenken im Hinblick auf das KI-System zutreffen: - Ich bin besorgt, dass der Chatbot meine Aktivitäten auf meinem digitalen Endgerät überwachen könnte.;"{""ImportId"":""QID35_3""}"
vertrauen_B_1;TIA_B_1;Ich würde diesem System vertrauen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde diesem System vertrauen.;"{""ImportId"":""QID36_1""}"
vertrauen_B_2;TIA_B_2;Ich würde mich auf das System verlassen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zum Vertrauen zu? - Ich würde mich auf das System verlassen.;"{""ImportId"":""QID36_2""}"
bedienenb_B_1;USA_B_1;Mir ist es wichtig, dass kurze Sätze und einfache Wörter verwendet werden.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass kurze Sätze und einfache Wörter verwendet werden.;"{""ImportId"":""QID37_1""}"
bedienenb_B_2;USA_B_2;Mir ist es wichtig, dass das System nicht unvorhersehbar reagiert.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass das System nicht unvorhersehbar reagiert.;"{""ImportId"":""QID37_2""}"
bedienenb_B_3;USA_B_3;Mir ist es wichtig weiterführende relevante Informationen zu meiner Frage zu bekommen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig weiterführende relevante Informationen zu meiner Frage zu bekommen.;"{""ImportId"":""QID37_3""}"
bedienenb_B_4;USA_B_4;Mir ist es wichtig, dass das System klar strukturiert und übersichtlich ist.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass das System klar strukturiert und übersichtlich ist.;"{""ImportId"":""QID37_4""}"
bedienenb_B_5;USA_B_5;Mir ist es wichtig, dass ich das System bei Erstnutzung schnell verstehe.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Bedienbarkeit zu? - Mir ist es wichtig, dass ich das System bei Erstnutzung schnell verstehe.;"{""ImportId"":""QID37_5""}"
zeit_B_1;EZA_B_1;Ich gehe davon aus, dass dieser Chatbot zeitsparend ist.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Zeitersparnis zu? - Ich gehe davon aus, dass dieser Chatbot zeitsparend ist.;"{""ImportId"":""QID38_1""}"
zeit_B_2;EZA_B_2;Die Nutzung des Chatbots könnte es mir ermöglichen, Aufgaben schneller zu erledigen.;Im Hinblick auf das KI-System: Inwiefern stimmen Sie den folgenden Aussagen zur Zeitersparnis zu? - Die Nutzung des Chatbots könnte es mir ermöglichen, Aufgaben schneller zu erledigen.;"{""ImportId"":""QID38_2""}"
FL_15_DO_SzenarioA;FL_15_DO_SzenarioA;Block Randomizer;FL_15 - Block Randomizer - Display Order - SzenarioA;"{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioA""}"
FL_15_DO_SzenarioB;FL_15_DO_SzenarioB;Block Randomizer;FL_15 - Block Randomizer - Display Order - SzenarioB;"{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioB""}"
FL_15_DO_SzenarioC;FL_15_DO_SzenarioC;Block Randomizer;FL_15 - Block Randomizer - Display Order - SzenarioC;"{""ImportId"":""FL_15_DO"",""choiceId"":""SzenarioC""}"
